Date,Time,Open,High,Low,Close,Volume
2019.05.29,20:05,8704.28,8707.77,8599.89,8620.37,7251
2019.05.30,0:05,8625.25,8709.27,8590.89,8695.28,6684
2019.05.30,4:05,8695.28,8714.27,8543.44,8690.35,6845
2019.05.30,8:05,8690.79,8754.23,8641.65,8684.8,5224
2019.05.30,12:05,8685.79,8754.6,8656.49,8713.96,2816
2019.05.30,16:05,8714.06,9067.91,8575.42,8617.86,13781
2019.05.30,20:05,8611.87,8645.59,8385.97,8451.04,15516
2019.05.31,0:05,8477.42,8477.87,7981.73,8291.67,24096
2019.05.31,4:05,8291.68,8348.07,8082.82,8123.48,15346
2019.05.31,8:05,8123.49,8295.83,8105.26,8251.66,14917
2019.05.31,12:05,8251.65,8345.81,8174.81,8326.96,13653
2019.05.31,16:05,8325.88,8429.72,8258.94,8358.37,15786
2019.05.31,20:05,8359.12,8489.35,8352.13,8488.6,14484
2019.06.03,0:05,8657.83,8730.37,8590.89,8612.87,10374
2019.06.03,4:05,8609.87,8688.95,8595.14,8648.39,9399
2019.06.03,8:05,8647.89,8648.24,8300.68,8441.54,15354
2019.06.03,12:05,8441.04,8533.4,8391.09,8500.93,10229
2019.06.03,16:05,8501.43,8516.64,8301.68,8483.14,14337
2019.06.03,20:05,8482.39,8549.36,8435.81,8511.96,9468
2019.06.04,0:05,8489.49,8534.63,7761.81,7953.53,24302
2019.06.04,4:05,7953.53,8004.36,7825.3,7935.05,12933
2019.06.04,8:05,7935.05,7950.13,7728.25,7903.08,12813
2019.06.04,12:05,7902.08,7958.02,7827.15,7943.35,10021
2019.06.04,16:05,7943.35,8078.5,7830,7857.54,6706
2019.06.04,20:05,7857.54,7865.38,7530.68,7626.17,10942
2019.06.05,0:05,7634.2,7738.5,7451.32,7694.26,8000
2019.06.05,4:05,7694.26,7795.34,7692.27,7738.7,5434
2019.06.05,8:05,7738.9,7787.41,7647.63,7785.52,6096
2019.06.05,12:05,7783.54,7918.5,7700.17,7701.6,7369
2019.06.05,16:05,7701.6,7848.5,7530.58,7674.42,8585
2019.06.05,20:05,7675.41,7877.13,7612.73,7677.4,11217
2019.06.06,0:05,7675.91,7786.32,7561.48,7745.02,16034
2019.06.06,4:05,7747.51,7826.61,7746.52,7789.3,7988
2019.06.06,8:05,7789.8,7836.2,7691.29,7770.92,8731
2019.06.06,12:05,7772.41,7903.5,7641.3,7688.31,8812
2019.06.06,16:05,7688.31,7704.23,7544.08,7648.51,13228
2019.06.06,20:05,7650,7675.91,7439.56,7649.54,13012
2019.06.07,0:05,7636.11,7784.82,7636.11,7736.57,7956
2019.06.07,4:05,7737.06,7776.86,7707.21,7740.05,5246
2019.06.07,8:05,7740.55,7988.3,7724.63,7951.49,7040
2019.06.07,12:05,7945.52,7948.5,7859.45,7873.38,6504
2019.06.07,16:05,7873.88,8063.92,7844.51,8025.12,6398
2019.06.07,20:05,8024.12,8079.34,7888.84,7918.19,6895
2019.06.10,0:05,7693.97,7721.15,7487.13,7583.97,21688
2019.06.10,4:05,7583.97,7660.24,7567.41,7621.82,6603
2019.06.10,8:05,7621.92,7723.39,7595.8,7695.36,8219
2019.06.10,12:05,7695.66,8032.36,7604.84,7954.54,10338
2019.06.10,16:05,7956.03,7972.5,7858.94,7922.02,9917
2019.06.10,20:05,7922.06,7982.45,7881.01,7903.73,7444
2019.06.11,0:05,7904.44,8014.57,7889.16,7960.16,10246
2019.06.11,4:05,7960.15,7964.22,7906.23,7916.96,5529
2019.06.11,8:05,7917.07,7932.58,7883.68,7928.78,7378
2019.06.11,12:05,7929.08,7939.72,7708.63,7769.41,18972
2019.06.11,16:05,7769.89,7850.86,7698,7828.19,18635
2019.06.11,20:05,7828.19,7954.85,7827.9,7911.45,6049
2019.06.12,0:05,7911.84,7929.4,7794.73,7807.82,11926
2019.06.12,4:05,7807.6,8032.44,7805.5,7941.07,20883
2019.06.12,8:05,7942.01,7972.9,7900.35,7904.23,17639
2019.06.12,12:05,7904.1,8020.55,7874.73,7985.79,17147
2019.06.12,16:05,7985.79,8203.21,7907.24,8137.91,23646
2019.06.12,20:05,8137.27,8146.46,8065,8096,13515
2019.06.13,0:05,8101.53,8147.03,8087.01,8134.24,14543
2019.06.13,4:05,8134.57,8137.43,8037.51,8099.86,15273
2019.06.13,8:05,8099.94,8111.04,8065.42,8093.51,12081
2019.06.13,12:05,8093.58,8116.57,8034.75,8116.17,8015
2019.06.13,16:05,8116.04,8216.53,8096.8,8148.17,13794
2019.06.13,20:05,8148.15,8258.62,8144.59,8255.19,12767
2019.06.14,0:05,8253.43,8313.33,8182.08,8201.95,8412
2019.06.14,4:05,8201.89,8216.61,8147.69,8215.57,10607
2019.06.14,8:05,8215.65,8288.47,8176.79,8273.7,4523
2019.06.14,12:05,8273.7,8363.1,8230.58,8337.45,6973
2019.06.14,16:05,8338.28,8431.03,8320.28,8335.99,15657
2019.06.14,20:05,8335.35,8438.97,8334.75,8435.2,7953
2019.06.17,0:05,8937.35,9176.56,8937.35,9171.55,20975
2019.06.17,4:05,9171.8,9204.85,9055.54,9128.12,22265
2019.06.17,8:05,9128.14,9189.55,9089.51,9174.67,15818
2019.06.17,12:05,9174.09,9330.21,9126.69,9237.79,13688
2019.06.17,16:05,9237.73,9365.82,9109,9213.12,14609
2019.06.17,20:05,9213.57,9353.43,9171.7,9275.35,15312
2019.06.18,0:05,9233.94,9445.09,9200.9,9259.85,25240
2019.06.18,4:05,9259.75,9300.71,9177.55,9217.7,12310
2019.06.18,8:05,9217.76,9221.98,9002.56,9158.89,25686
2019.06.18,12:05,9157.42,9228.03,9086.24,9148.74,17277
2019.06.18,16:05,9148.74,9174.19,8943.08,8989.86,13629
2019.06.18,20:05,8990.66,9131.03,8929.07,9122.3,16000
2019.06.19,0:05,9098.16,9146.55,8936.03,9136.67,18670
2019.06.19,4:05,9136.67,9186.91,9103.64,9142.9,16304
2019.06.19,8:05,9142.92,9175.65,9113.66,9145.09,13512
2019.06.19,12:05,9144.64,9145.28,9044.22,9051.51,9007
2019.06.19,16:05,9051.7,9126.38,9034.78,9105.18,17410
2019.06.19,20:05,9105.22,9164.04,9081.05,9146,13304
2019.06.20,0:05,9150.7,9290.52,9130.79,9234.26,18464
2019.06.20,4:05,9234.26,9338.08,9221.74,9284.34,10496
2019.06.20,8:05,9284.41,9300.68,9188.4,9211.1,11157
2019.06.20,12:05,9211.09,9269.92,9193.82,9269.92,9229
2019.06.20,16:05,9269.83,9413.3,9257.83,9315.51,13087
2019.06.20,20:05,9315.11,9592.16,9289.95,9535.28,15004
2019.06.21,0:05,9564.92,9623.02,9447.84,9623.02,12444
2019.06.21,4:05,9623.38,9788.16,9613.92,9720.47,19013
2019.06.21,8:05,9720.4,9726.2,9627.07,9690.24,7081
2019.06.21,12:05,9690.23,9823.97,9652.89,9823.97,14382
2019.06.21,16:05,9824.21,9880.8,9675.46,9824.69,17332
2019.06.21,20:05,9825.19,9917.71,9812.21,9858.64,10825
2019.06.24,0:05,11082.02,11296.65,10594.54,10666.49,26096
2019.06.24,4:05,10666.56,10780.93,10564.32,10754.92,22513
2019.06.24,8:05,10754.99,10889.67,10687.85,10868.76,10084
2019.06.24,12:05,10868.76,10966.1,10759.28,10838.18,11931
2019.06.24,16:05,10838.34,11086.66,10769.51,10997.64,10179
2019.06.24,20:05,11000.23,11068.18,10823.46,10870.27,9062
2019.06.25,0:05,10888.97,11078.93,10888.97,11028.16,9177
