Date,Time,Open,High,Low,Close,Volume
2017.04.22,12:00,1226.00000,1230.00000,1225.00000,1225.30000,3568
2017.04.22,16:00,1212.90000,1220.20000,1200.00000,1201.00000,5122
2017.04.22,20:00,1216.60000,1217.20000,1205.60000,1214.00000,4426
2017.04.23,00:00,1224.00000,1232.70000,1222.00000,1228.80000,4328
2017.04.23,04:00,1221.90000,1230.00000,1220.20000,1226.00000,3763
2017.04.23,08:00,1222.40000,1233.00000,1220.00000,1225.10000,4334
2017.04.23,12:00,1227.00000,1234.00000,1225.10000,1228.00000,3936
2017.04.23,16:00,1231.60000,1233.00000,1226.60000,1230.30000,4193
2017.04.23,20:00,1239.50000,1240.00000,1233.10000,1236.00000,3212
2017.04.24,00:00,1238.60000,1241.00000,1237.10000,1237.90000,3481
2017.04.24,04:00,1237.00000,1238.00000,1231.00000,1231.00000,3637
2017.04.24,08:00,1239.80000,1241.30000,1236.00000,1236.00000,3330
2017.04.24,12:00,1236.10000,1241.40000,1235.10000,1239.00000,3109
2017.04.24,16:00,1238.00000,1239.90000,1236.30000,1236.30000,2840
2017.04.24,20:00,1238.10000,1245.00000,1237.00000,1244.10000,3114
2017.04.25,00:00,1247.00000,1247.80000,1242.50000,1243.70000,3421
2017.04.25,04:00,1242.50000,1246.50000,1239.60000,1239.60000,4436
2017.04.25,08:00,1249.40000,1249.40000,1242.50000,1242.50000,4366
2017.04.25,12:00,1245.60000,1250.00000,1245.60000,1247.00000,3789
2017.04.25,16:00,1248.80000,1253.50000,1246.60000,1250.80000,4265
2017.04.25,20:00,1257.00000,1260.60000,1257.00000,1260.00000,3563
2017.04.26,00:00,1259.00000,1260.00000,1252.70000,1257.00000,3722
2017.04.26,04:00,1255.90000,1256.00000,1250.20000,1251.00000,3612
2017.04.26,08:00,1251.00000,1258.00000,1251.00000,1254.00000,3606
2017.04.26,12:00,1258.50000,1260.00000,1252.00000,1252.00000,4279
2017.04.26,16:00,1255.00000,1265.20000,1255.00000,1263.70000,5336
2017.04.26,20:00,1275.60000,1278.00000,1269.10000,1277.00000,6491
2017.04.27,00:00,1270.00000,1275.00000,1268.60000,1268.80000,6664
2017.04.27,04:00,1270.60000,1278.60000,1270.00000,1274.10000,7042
2017.04.27,08:00,1280.20000,1283.50000,1275.90000,1279.90000,5150
2017.04.27,12:00,1283.00000,1287.50000,1282.20000,1282.20000,4272
2017.04.27,16:00,1284.90000,1298.50000,1283.00000,1298.50000,4330
2017.04.27,20:00,1299.20000,1302.20000,1295.80000,1297.00000,4055
2017.04.28,00:00,1301.40000,1301.80000,1295.70000,1301.80000,4433
2017.04.28,04:00,1291.50000,1297.50000,1290.00000,1295.30000,3462
2017.04.28,08:00,1304.00000,1304.00000,1294.40000,1300.30000,4088
2017.04.28,12:00,1302.00000,1305.90000,1298.40000,1305.90000,4175
2017.04.28,16:00,1292.00000,1295.00000,1290.00000,1290.00000,3884
2017.04.28,20:00,1284.80000,1287.00000,1282.60000,1287.00000,3522
2017.04.29,00:00,1283.20000,1286.80000,1277.00000,1280.00000,4187
2017.04.29,04:00,1292.90000,1298.00000,1292.20000,1297.00000,3932
2017.04.29,08:00,1292.10000,1297.00000,1290.20000,1294.00000,3697
2017.04.29,12:00,1292.00000,1294.70000,1285.00000,1289.50000,4125
2017.04.29,16:00,1281.00000,1289.40000,1281.00000,1288.00000,3535
2017.04.29,20:00,1292.60000,1296.00000,1291.00000,1293.30000,3198
2017.04.30,00:00,1295.70000,1296.10000,1291.10000,1291.70000,3817
2017.04.30,04:00,1286.30000,1293.90000,1286.30000,1290.00000,4863
2017.04.30,08:00,1292.60000,1297.90000,1292.60000,1294.00000,3648
2017.04.30,12:00,1292.90000,1296.90000,1291.30000,1292.40000,3971
2017.04.30,16:00,1293.00000,1295.50000,1287.90000,1293.00000,3731
2017.04.30,20:00,1292.10000,1294.00000,1286.00000,1286.30000,4016
2017.05.01,00:00,1291.20000,1312.90000,1287.50000,1307.00000,3710
2017.05.01,04:00,1305.00000,1306.80000,1302.90000,1305.60000,3558
2017.05.01,08:00,1311.00000,1314.40000,1310.90000,1313.00000,3585
2017.05.01,12:00,1308.20000,1314.00000,1304.70000,1306.00000,4107
2017.05.01,16:00,1310.00000,1319.40000,1306.00000,1319.40000,4023
2017.05.01,20:00,1368.00000,1393.40000,1357.40000,1367.10000,4267
2017.05.02,00:00,1370.80000,1391.10000,1365.90000,1376.30000,4327
2017.05.02,04:00,1367.60000,1373.50000,1360.60000,1372.20000,3698
2017.05.02,08:00,1382.10000,1386.20000,1377.30000,1377.60000,3648
2017.05.02,12:00,1377.20000,1392.00000,1369.10000,1391.10000,5406
2017.05.02,16:00,1405.00000,1410.00000,1400.00000,1400.00000,9831
2017.05.02,20:00,1401.00000,1403.90000,1401.00000,1401.10000,9923
2017.05.03,00:00,1376.00000,1385.40000,1370.00000,1382.00000,9970
2017.05.03,04:00,1400.00000,1408.70000,1400.00000,1407.50000,10800
2017.05.03,08:00,1398.10000,1401.50000,1381.50000,1382.00000,10999
2017.05.03,12:00,1374.00000,1384.30000,1370.10000,1384.00000,4694
2017.05.03,16:00,1394.00000,1396.80000,1378.00000,1383.50000,5244
2017.05.03,20:00,1387.80000,1400.20000,1385.60000,1396.00000,4465
2017.05.04,00:00,1401.90000,1403.90000,1390.00000,1392.00000,4529
2017.05.04,04:00,1385.00000,1400.40000,1382.00000,1396.20000,4933
2017.05.04,08:00,1399.00000,1410.90000,1394.10000,1407.80000,6627
2017.05.04,12:00,1449.40000,1450.00000,1436.00000,1442.20000,8391
2017.05.04,16:00,1482.00000,1483.00000,1466.40000,1475.50000,9980
2017.05.04,20:00,1494.80000,1499.90000,1483.30000,1499.90000,11301
2017.05.05,00:00,1370.60000,1419.50000,1345.80000,1419.00000,10749
2017.05.05,04:00,1440.00000,1448.60000,1428.20000,1448.50000,10477
2017.05.05,08:00,1460.00000,1463.00000,1450.00000,1457.50000,5969
2017.05.05,12:00,1482.00000,1484.70000,1470.00000,1472.00000,6237
2017.05.05,16:00,1473.00000,1475.00000,1463.00000,1466.00000,5219
2017.05.05,20:00,1410.00000,1446.40000,1406.00000,1444.10000,5051
2017.05.06,00:00,1430.50000,1455.80000,1430.10000,1447.30000,4630
2017.05.06,04:00,1437.80000,1454.10000,1437.10000,1451.10000,3960
2017.05.06,08:00,1460.10000,1460.10000,1449.00000,1450.00000,3728
2017.05.06,12:00,1456.70000,1465.10000,1456.70000,1458.50000,3564
2017.05.06,16:00,1468.00000,1472.80000,1456.40000,1466.10000,4475
2017.05.06,20:00,1471.00000,1471.80000,1463.50000,1468.80000,4010
2017.05.07,00:00,1466.80000,1480.20000,1464.00000,1467.00000,4468
2017.05.07,04:00,1479.80000,1484.80000,1471.00000,1472.40000,4893
2017.05.07,08:00,1471.50000,1484.00000,1471.50000,1478.00000,4568
2017.05.07,12:00,1476.20000,1483.00000,1473.20000,1479.00000,3233
2017.05.07,16:00,1476.00000,1479.60000,1472.00000,1475.00000,2560
2017.05.07,20:00,1471.50000,1479.50000,1470.00000,1479.50000,2526
2017.05.08,00:00,1477.80000,1490.00000,1475.00000,1487.60000,3972
2017.05.08,04:00,1508.20000,1545.80000,1508.20000,1534.70000,4480
2017.05.08,08:00,1541.00000,1587.00000,1541.00000,1585.50000,4662
2017.05.08,12:00,1595.20000,1599.30000,1587.00000,1598.90000,4281
2017.05.08,16:00,1583.40000,1597.80000,1577.00000,1591.10000,4375
2017.05.08,20:00,1566.80000,1579.30000,1564.90000,1579.30000,4018
2017.05.09,00:00,1625.80000,1639.20000,1606.00000,1606.70000,4486
2017.05.09,04:00,1627.00000,1632.00000,1622.30000,1627.00000,4573
2017.05.09,08:00,1672.90000,1690.90000,1672.90000,1677.20000,4412
2017.05.09,12:00,1690.90000,1705.70000,1670.00000,1673.70000,4507
2017.05.09,16:00,1690.00000,1690.00000,1641.00000,1678.70000,4480
2017.05.09,20:00,1666.70000,1691.80000,1655.50000,1691.80000,4159
2017.05.10,00:00,1642.20000,1646.50000,1620.00000,1633.40000,4787
2017.05.10,04:00,1637.00000,1654.20000,1635.00000,1647.30000,4518
2017.05.10,08:00,1640.50000,1650.00000,1634.90000,1638.90000,4372
2017.05.10,12:00,1648.40000,1654.00000,1630.10000,1632.70000,4048
2017.05.10,16:00,1660.80000,1697.00000,1658.00000,1696.30000,3774
2017.05.10,20:00,1686.20000,1691.00000,1662.70000,1674.00000,4133
2017.05.11,00:00,1689.00000,1695.00000,1675.20000,1694.60000,3280
2017.05.11,04:00,1686.00000,1696.50000,1684.00000,1696.50000,4464
2017.05.11,08:00,1729.00000,1775.90000,1728.00000,1755.30000,4821
2017.05.11,12:00,1750.60000,1787.70000,1750.60000,1786.00000,4264
2017.05.11,16:00,1762.00000,1779.80000,1759.70000,1768.00000,3267
2017.05.11,20:00,1795.10000,1797.80000,1785.00000,1797.00000,3152
2017.05.12,00:00,1770.00000,1773.00000,1754.60000,1773.00000,3347
2017.05.12,04:00,1775.90000,1786.20000,1770.00000,1779.10000,3588
2017.05.12,08:00,1760.00000,1761.10000,1735.50000,1738.60000,3333
2017.05.12,12:00,1773.10000,1786.70000,1773.10000,1782.00000,3396
2017.05.12,16:00,1758.00000,1764.20000,1744.00000,1750.20000,3636
2017.05.12,20:00,1743.00000,1749.30000,1736.50000,1740.50000,3634
2017.05.13,00:00,1635.00000,1680.40000,1619.70000,1680.00000,3878
2017.05.13,04:00,1648.30000,1652.00000,1608.20000,1611.40000,4075
2017.05.13,08:00,1617.10000,1648.90000,1613.00000,1641.90000,3496
2017.05.13,12:00,1667.00000,1690.00000,1667.00000,1685.00000,3114
2017.05.13,16:00,1686.40000,1696.00000,1680.00000,1696.00000,3063
2017.05.13,20:00,1669.30000,1697.90000,1669.30000,1696.30000,3525
2017.05.14,00:00,1695.50000,1731.00000,1694.00000,1726.20000,3603
2017.05.14,04:00,1731.40000,1739.00000,1725.70000,1732.00000,3261
2017.05.14,08:00,1718.00000,1730.00000,1717.20000,1726.00000,3513
2017.05.14,12:00,1740.10000,1750.00000,1738.50000,1749.80000,3515
2017.05.14,16:00,1731.30000,1744.00000,1726.50000,1726.50000,3543
2017.05.14,20:00,1699.30000,1717.00000,1695.50000,1715.00000,3988
2017.05.15,00:00,1709.00000,1714.90000,1708.30000,1708.60000,2050
2017.05.15,04:00,1713.00000,1717.00000,1709.80000,1717.00000,3389
2017.05.15,08:00,1690.80000,1706.00000,1686.00000,1697.90000,3376
2017.05.15,12:00,1685.00000,1685.00000,1652.00000,1679.00000,2937
2017.05.15,16:00,1687.40000,1695.40000,1678.00000,1680.30000,4144
2017.05.15,20:00,1670.00000,1676.00000,1661.20000,1662.00000,4126
2017.05.16,00:00,1650.00000,1684.00000,1645.00000,1672.00000,3976
2017.05.16,04:00,1657.40000,1691.60000,1655.30000,1680.50000,4305
2017.05.16,08:00,1647.10000,1652.60000,1641.00000,1650.80000,4238
2017.05.16,12:00,1642.00000,1648.10000,1627.20000,1635.60000,4304
2017.05.16,16:00,1643.00000,1666.30000,1643.00000,1664.10000,3749
2017.05.16,20:00,1700.00000,1720.00000,1700.00000,1714.60000,3310
2017.05.17,00:00,1681.00000,1691.00000,1677.10000,1680.10000,4018
2017.05.17,04:00,1692.20000,1707.00000,1683.90000,1695.00000,4496
2017.05.17,08:00,1725.00000,1750.00000,1724.80000,1750.00000,4771
2017.05.17,12:00,1753.30000,1770.00000,1750.10000,1768.00000,3838
2017.05.17,16:00,1755.00000,1770.00000,1750.00000,1763.10000,3673
2017.05.17,20:00,1772.30000,1777.80000,1746.00000,1750.00000,3825
2017.05.18,00:00,1760.80000,1761.70000,1740.90000,1751.50000,3833
2017.05.18,04:00,1760.10000,1780.00000,1758.20000,1776.20000,4450
2017.05.18,08:00,1772.00000,1783.00000,1766.00000,1776.10000,4847
2017.05.18,12:00,1776.00000,1780.00000,1768.00000,1770.20000,4180
2017.05.18,16:00,1777.00000,1794.90000,1774.00000,1783.10000,3996
2017.05.18,20:00,1828.20000,1834.60000,1820.00000,1820.00000,4669
2017.05.19,00:00,1812.00000,1820.00000,1807.00000,1815.00000,4773
2017.05.19,04:00,1841.20000,1843.90000,1826.50000,1829.70000,4465
2017.05.19,08:00,1828.00000,1848.00000,1828.00000,1846.10000,3926
2017.05.19,12:00,1861.00000,1878.40000,1861.00000,1877.10000,3739
2017.05.19,16:00,1879.50000,1885.60000,1871.00000,1879.70000,4103
2017.05.19,20:00,1883.60000,1890.40000,1872.00000,1876.00000,4681
2017.05.20,00:00,1890.00000,1899.20000,1883.90000,1897.00000,4376
2017.05.20,04:00,1922.00000,1941.20000,1915.00000,1941.20000,4404
2017.05.20,08:00,1963.30000,1976.00000,1951.40000,1972.00000,4433
2017.05.20,12:00,1959.00000,1965.20000,1953.60000,1960.70000,4462
2017.05.20,16:00,1947.80000,1949.00000,1932.00000,1935.80000,3665
2017.05.20,20:00,1944.00000,1971.20000,1942.20000,1965.80000,4449
2017.05.21,00:00,1992.10000,1998.60000,1969.00000,1973.80000,3627
2017.05.21,04:00,2006.80000,2018.70000,2000.00000,2003.70000,3391
2017.05.21,08:00,2007.00000,2019.00000,2007.00000,2014.00000,3815
2017.05.21,12:00,2027.00000,2050.00000,2027.00000,2049.00000,3542
2017.05.21,16:00,1960.00000,2025.50000,1960.00000,2016.70000,3502
2017.05.21,20:00,2015.00000,2020.00000,1999.00000,2003.60000,3381
2017.05.22,00:00,1990.10000,2001.20000,1988.00000,2001.20000,3524
2017.05.22,04:00,2022.20000,2031.00000,2015.40000,2030.00000,4879
2017.05.22,08:00,2088.00000,2114.50000,2070.90000,2111.00000,5105
