Date,Time,Open,High,Low,Close,Volume
2018.06.28,20:00,6081.17,6091.06,5818.5,5844.31,13987
2018.06.29,0:00,5844.36,5899.88,5841.18,5871.51,13821
2018.06.29,4:00,5871.59,5946,5782.95,5890.98,13894
2018.06.29,8:00,5890.77,5917.38,5832.12,5864.8,13799
2018.06.29,12:00,5864.63,5905.61,5803.64,5894.96,13853
2018.06.29,16:00,5895.14,5903.2,5862.3,5879.7,13866
2018.06.29,20:00,5879.73,6291.17,5878.31,6199.01,13920
2018.06.30,0:00,6199.06,6502.32,6184.59,6362.91,13975
2018.06.30,4:00,6362.97,6410.83,6362.25,6406.14,13754
2018.06.30,8:00,6406.14,6407.86,6371.05,6390.07,13348
2018.06.30,12:00,6390.08,6445.61,6325.06,6372.53,13742
2018.06.30,16:00,6372.59,6374.79,6302.02,6323.66,13672
2018.06.30,20:00,6323.7,6412.21,6321.42,6383.65,13598
2018.07.01,0:00,6383.64,6426.83,6314.89,6345.31,13702
2018.07.01,4:00,6345.42,6392.68,6331.98,6369.22,13783
2018.07.01,8:00,6369.27,6386.91,6336.13,6368.8,13685
2018.07.01,12:00,6368.86,6377.21,6253.61,6313.73,13772
2018.07.01,16:00,6313.77,6334.66,6292.83,6315.77,13665
2018.07.01,20:00,6315.38,6397.61,6305.93,6344.55,13789
2018.07.02,0:00,6343.09,6353.61,6311.35,6331.76,13834
2018.07.02,4:00,6331.96,6343.59,6269.21,6330.23,13838
2018.07.02,8:00,6329.17,6357.91,6303.69,6333.45,13904
2018.07.02,12:00,6333.47,6662.84,6318.16,6612.94,14019
2018.07.02,16:00,6613.01,6668.38,6593.11,6619.33,13806
2018.07.02,20:00,6619.48,6649.63,6596.9,6610.31,13677
2018.07.03,0:00,6610.43,6651.3,6593.88,6630.18,13829
2018.07.03,4:00,6630.35,6668.15,6605.87,6640.44,13722
2018.07.03,8:00,6640.48,6641.63,6531.4,6577.38,13933
2018.07.03,12:00,6577.4,6586.18,6547.19,6581.23,13703
2018.07.03,16:00,6581.09,6643.04,6538.14,6600.63,13895
2018.07.03,20:00,6600.87,6621.3,6459.16,6499.81,13929
2018.07.04,0:00,6499.95,6512.25,6407.15,6462.22,13996
2018.07.04,4:00,6462.46,6493.25,6452.9,6468.24,13965
2018.07.04,8:00,6467.67,6545.12,6464.78,6518.87,13961
2018.07.04,12:00,6518.75,6782.29,6512.2,6676.49,14002
2018.07.04,16:00,6675.87,6693.91,6647.41,6681.4,13821
2018.07.04,20:00,6681.45,6690.96,6548.38,6580.6,13893
2018.07.05,0:00,6580.49,6685.23,6510.28,6620.04,14040
2018.07.05,4:00,6619.79,6663.6,6559.84,6608.06,14002
2018.07.05,8:00,6607.56,6682.21,6543.56,6613.02,14008
2018.07.05,12:00,6613.25,6665.3,6536.01,6603.08,14029
2018.07.05,16:00,6603.4,6634.65,6435.17,6500.34,14009
2018.07.05,20:00,6496.25,6548.38,6475.23,6525.83,13895
2018.07.06,0:00,6525.97,6539.98,6501.55,6523.59,13884
2018.07.06,4:00,6523.63,6526.51,6443.95,6476.11,13981
2018.07.06,8:00,6475.89,6540.99,6464.67,6523.09,13961
2018.07.06,12:00,6523.1,6632.41,6523.1,6559.68,13864
2018.07.06,16:00,6559.96,6624.38,6512.39,6563.68,13926
2018.07.06,20:00,6563.45,6619.81,6556.5,6595.64,13860
2018.07.07,0:00,6595.65,6604.45,6557.12,6593.88,13793
2018.07.07,4:00,6593.8,6612.08,6568.1,6586.66,13749
2018.07.07,8:00,6586.87,6591.64,6557.64,6579.39,13742
2018.07.07,12:00,6579.44,6608.83,6512.56,6555.9,13847
2018.07.07,16:00,6554.73,6564.04,6522.55,6533.38,13714
2018.07.07,20:00,6533.33,6813,6504.3,6748.44,13868
2018.07.08,0:00,6748.56,6774.26,6714.51,6717.19,13775
2018.07.08,4:00,6717.3,6733.3,6707.03,6729.27,13614
2018.07.08,8:00,6729.03,6733.44,6713.26,6730.17,13529
2018.07.08,12:00,6730.42,6762.13,6704.93,6733.32,13765
2018.07.08,16:00,6733.32,6755.04,6732.12,6749.01,13717
2018.07.08,20:00,6749.04,6756.44,6662.1,6699.11,13720
2018.07.09,0:00,6699.05,6721.65,6678.68,6704.15,13752
2018.07.09,4:00,6704.2,6736.83,6684.77,6717.15,13610
2018.07.09,8:00,6717.1,6742.61,6653.22,6713.95,13722
2018.07.09,12:00,6714.36,6733.11,6697.47,6714.9,13678
2018.07.09,16:00,6715,6716.22,6662.7,6703.01,13743
2018.07.09,20:00,6702.9,6800.81,6613.14,6662.38,13771
2018.07.10,0:00,6662.4,6675.77,6616.98,6630.71,13819
2018.07.10,4:00,6630.39,6646.48,6561.01,6600.79,13806
2018.07.10,8:00,6600.65,6613.27,6307.26,6359.06,13943
2018.07.10,12:00,6359.18,6393.23,6321.88,6380.33,13871
2018.07.10,16:00,6380.3,6403.79,6332.42,6371.79,13840
2018.07.10,20:00,6371.8,6399.81,6262.56,6300.59,13792
2018.07.11,0:00,6300.53,6394,6281.27,6337.17,13925
2018.07.11,4:00,6337.18,6359.73,6276.21,6341.44,13897
2018.07.11,8:00,6341.57,6393.62,6318.06,6369.69,13780
2018.07.11,12:00,6369.67,6387.44,6334.29,6358.49,13770
2018.07.11,16:00,6358.57,6368.36,6282.97,6340.92,13761
2018.07.11,20:00,6341.14,6380.41,6341.13,6379.16,13749
2018.07.12,0:00,6378.99,6379.14,6299.6,6342.07,13664
2018.07.12,4:00,6342.34,6343.37,6146.4,6174.6,13758
2018.07.12,8:00,6174.63,6203.24,6121.74,6158.28,13811
2018.07.12,12:00,6158.91,6192.5,6148.12,6161.83,13832
2018.07.12,16:00,6161.99,6186.56,6146.01,6170.64,13866
2018.07.12,20:00,6170.51,6252.83,6062.84,6243.47,13908
2018.07.13,0:00,6242.3,6275.54,6214.5,6245.81,13712
2018.07.13,4:00,6245.82,6262.04,6209.67,6245.19,13683
2018.07.13,8:00,6244.75,6246.29,6225,6239.77,13626
2018.07.13,12:00,6239.76,6280.1,6222.66,6256.81,13693
2018.07.13,16:00,6256.88,6332.54,6160.26,6173.28,13898
2018.07.13,20:00,6173.32,6240.29,6118.87,6211.94,13894
2018.07.14,0:00,6211.83,6276.13,6195.24,6205.13,13785
2018.07.14,4:00,6205.17,6224.12,6195.1,6215.43,13463
2018.07.14,8:00,6215.41,6235.81,6178.37,6228.03,13476
2018.07.14,12:00,6228.19,6245.37,6219.55,6236.12,13161
2018.07.14,16:00,6236.13,6290.6,6199.98,6264.95,13528
2018.07.14,20:00,6264.93,6318.44,6204.32,6243.34,13594
2018.07.15,0:00,6243.32,6253.39,6226.7,6247.24,13541
