Date,Time,Open,High,Low,Close,Volume
2017.10.16,12:05,336.67,343.45,336.12,340,2358
2017.10.16,16:05,339.6,342.59,333.34,333.37,3156
2017.10.16,20:05,333.38,337.05,329.05,331.58,3453
2017.10.17,0:05,331.14,335.43,330.29,330.91,3256
2017.10.17,4:05,330.93,331.2,323.91,326.34,4413
2017.10.17,8:05,326.35,329.77,322.91,328.27,4056
2017.10.17,12:05,328.28,328.29,319.46,320.89,4134
2017.10.17,16:05,320.9,321.77,314.86,315.09,3860
2017.10.17,20:05,315,320.67,310.52,311.27,3662
2017.10.18,0:05,313.91,316.19,308.28,310.94,4407
2017.10.18,4:05,310.95,311.35,302.64,310,4163
2017.10.18,8:05,309.81,312.58,295.58,298.56,4251
2017.10.18,12:05,298.57,300.87,293.3,295.81,3916
2017.10.18,16:05,295.64,308.21,291.88,303.69,2111
2017.10.18,20:05,303.84,304.99,296.44,302.69,2736
2017.10.19,0:05,303.48,312.95,303.16,309.21,3116
2017.10.19,4:05,309.14,314.69,308.85,309.99,4107
2017.10.19,8:05,310,310.21,302.74,306.04,4063
2017.10.19,12:05,306.08,307.79,302.37,303.29,3679
2017.10.19,16:05,303.31,312.2,301.94,307.39,4280
2017.10.19,20:05,307.41,307.41,303.17,304.62,4383
2017.10.20,0:05,304.87,307.81,304.33,307.3,4029
2017.10.20,4:05,307.31,307.6,304.11,305.72,3630
2017.10.20,8:05,305.73,305.97,301.65,301.85,4297
2017.10.20,12:05,301.88,303.61,300.17,302.78,3743
2017.10.20,16:05,302.79,311.21,302.61,305.91,4002
2017.10.20,20:05,305.9,307.42,299.31,301.88,3137
2017.10.23,0:05,288.52,293.03,288.52,290.85,3569
2017.10.23,4:05,290.84,291.29,288.26,289.62,3759
2017.10.23,8:05,289.47,289.81,278.2,278.89,3039
2017.10.23,12:05,279.05,285.2,277.3,278.81,4059
2017.10.23,16:05,278.83,280.48,271.75,280.34,4007
2017.10.23,20:05,280.36,282.48,277.6,280.46,3263
2017.10.24,0:05,280,283.73,278.2,279.03,3517
2017.10.24,4:05,279.04,309.92,278.2,303.19,4746
2017.10.24,8:05,303.2,307.5,301.12,303.13,3667
2017.10.24,12:05,303.12,308.09,302.83,304.16,4213
2017.10.24,16:05,304.17,309.2,300.73,301.27,4172
2017.10.24,20:05,301.22,304.04,298.21,300.86,2241
2017.10.25,0:05,296.59,296.62,292.2,293.57,2105
2017.10.25,4:05,293.57,295.33,287.21,291.55,3582
2017.10.25,8:05,291.56,298.19,290.3,295.91,2679
2017.10.25,12:05,295.26,296.65,288.78,292.42,3277
2017.10.25,16:05,292.21,294.29,288.1,293.34,2642
2017.10.25,20:05,293.35,297.77,291.85,294.48,2444
2017.10.26,0:05,293.86,296.29,291.35,293.21,3262
2017.10.26,4:05,293.5,296.12,293.14,295.29,3558
2017.10.26,8:05,295.1,295.29,292.67,293.24,1928
2017.10.26,12:05,292.83,297.19,292.83,296.21,2301
2017.10.26,16:05,296.22,296.59,293.3,293.78,2523
2017.10.26,20:05,293.66,294.19,290.06,293.51,2803
2017.10.27,0:05,293.44,295.96,291.98,295.9,3890
2017.10.27,4:05,296.06,297.44,293.34,294.9,2972
2017.10.27,8:05,294.91,296.9,293.75,294.6,3304
2017.10.27,12:05,294.63,295.78,293.2,293.2,4716
2017.10.27,16:05,292.98,293.34,290.25,292.35,3429
2017.10.27,20:05,292.36,294.13,291.94,293.2,3094
2017.10.30,0:05,303.79,308.2,302.13,306.64,3012
2017.10.30,4:05,306.66,307.94,303.73,306.12,3916
2017.10.30,8:05,306.11,309.77,305.82,307.3,4250
2017.10.30,12:05,307.32,309.24,304.63,305.36,3675
2017.10.30,16:05,305.38,305.84,302.44,304.72,3711
2017.10.30,20:05,304.65,304.66,302.7,303.55,1827
2017.10.31,0:05,303.2,306.41,302.67,306,3498
