Date,Time,Open,High,Low,Close,Volume
2009.12.21,0:00,1.4311,1.4347,1.4311,1.4342,5504
2009.12.21,4:00,1.4342,1.4357,1.4327,1.4334,5234
2009.12.21,8:00,1.4334,1.4342,1.428,1.4337,8366
2009.12.21,12:00,1.4337,1.4371,1.433,1.4333,8456
2009.12.21,16:00,1.4332,1.4335,1.4286,1.4294,8488
2009.12.21,20:00,1.4294,1.4296,1.4265,1.4274,4838
2009.12.22,0:00,1.4273,1.4295,1.4268,1.4293,5988
2009.12.22,4:00,1.4294,1.4299,1.4287,1.4293,4710
2009.12.22,8:00,1.4293,1.433,1.429,1.4307,10671
2009.12.22,12:00,1.4308,1.4315,1.4269,1.4281,10845
2009.12.22,16:00,1.4281,1.4285,1.4218,1.427,10127
2009.12.22,20:00,1.427,1.4272,1.4237,1.4254,4168
2009.12.23,0:00,1.4253,1.4274,1.4248,1.4253,2898
2009.12.23,4:00,1.4252,1.426,1.4243,1.4253,4113
2009.12.23,8:00,1.4254,1.4267,1.4234,1.4255,8597
2009.12.23,12:00,1.4255,1.4301,1.4248,1.4276,9518
2009.12.23,16:00,1.4277,1.4365,1.4277,1.4347,10123
2009.12.23,20:00,1.4348,1.4354,1.4323,1.4329,3792
2009.12.24,0:00,1.4327,1.4355,1.4327,1.4351,3554
2009.12.24,4:00,1.4352,1.4358,1.4332,1.4358,3403
2009.12.24,8:00,1.4358,1.4416,1.4348,1.4405,7042
2009.12.24,12:00,1.4405,1.4416,1.436,1.4365,6870
2009.12.24,16:00,1.4364,1.4377,1.4353,1.4353,3616
2009.12.28,0:00,1.4371,1.4395,1.4354,1.4394,4284
2009.12.28,4:00,1.4394,1.4395,1.4374,1.4388,4070
2009.12.28,8:00,1.4388,1.4398,1.4374,1.4393,6543
2009.12.28,12:00,1.4393,1.4412,1.4393,1.4393,6261
2009.12.28,16:00,1.4394,1.4399,1.4382,1.439,4930
2009.12.28,20:00,1.4389,1.4389,1.4371,1.4371,2979
2009.12.29,0:00,1.4371,1.4378,1.4355,1.4358,4433
2009.12.29,4:00,1.4358,1.4385,1.4353,1.438,4343
2009.12.29,8:00,1.438,1.4435,1.438,1.4416,9474
2009.12.29,12:00,1.4416,1.4456,1.4412,1.4425,9037
2009.12.29,16:00,1.4425,1.4428,1.4331,1.4359,9562
2009.12.29,20:00,1.4359,1.4359,1.4336,1.435,4134
2009.12.30,0:00,1.435,1.4356,1.4306,1.4311,5508
2009.12.30,4:00,1.431,1.4345,1.4307,1.4338,5222
2009.12.30,8:00,1.4339,1.4359,1.4335,1.4356,7900
2009.12.30,12:00,1.4356,1.4358,1.4289,1.4297,10449
2009.12.30,16:00,1.4297,1.4356,1.4272,1.4335,9575
2009.12.30,20:00,1.4336,1.4342,1.4325,1.4335,3336
2009.12.31,0:00,1.4336,1.4371,1.4336,1.4368,4097
2009.12.31,4:00,1.4368,1.4439,1.4363,1.4439,4916
2009.12.31,8:00,1.4438,1.4438,1.4391,1.4404,8392
2009.12.31,12:00,1.4403,1.4419,1.4364,1.4369,9259
2009.12.31,16:00,1.4368,1.4368,1.4306,1.4331,7439
2010.01.04,0:00,1.4324,1.4333,1.4257,1.4295,7838
2010.01.04,4:00,1.4294,1.4308,1.4272,1.4294,5752
2010.01.04,8:00,1.4295,1.4399,1.4269,1.4375,11890
2010.01.04,12:00,1.4375,1.4449,1.4375,1.4423,11614
2010.01.04,16:00,1.4424,1.4454,1.4403,1.4412,10249
2010.01.04,20:00,1.4412,1.4426,1.4403,1.4412,5114
