Date,Time,Open,High,Low,Close,Volume
2019.07.17,23:45,1.12228,1.12244,1.12215,1.12219,397
2019.07.18,0:00,1.12221,1.12255,1.12221,1.12252,119
2019.07.18,0:15,1.12251,1.12282,1.12247,1.12271,145
2019.07.18,0:30,1.1227,1.12273,1.12251,1.12253,254
2019.07.18,0:45,1.12254,1.12272,1.12254,1.12266,174
2019.07.18,1:00,1.12267,1.12296,1.12267,1.12275,240
2019.07.18,1:15,1.12274,1.12281,1.1227,1.12281,156
2019.07.18,1:30,1.12281,1.12281,1.12267,1.1227,220
2019.07.18,1:45,1.12269,1.12277,1.12261,1.12267,265
2019.07.18,2:00,1.12268,1.12275,1.12263,1.12274,239
2019.07.18,2:15,1.12275,1.12282,1.12269,1.12279,264
2019.07.18,2:30,1.12278,1.12284,1.1227,1.1227,203
2019.07.18,2:45,1.1227,1.12281,1.12264,1.12268,259
2019.07.18,3:00,1.12268,1.1228,1.12251,1.12263,466
2019.07.18,3:15,1.12265,1.12272,1.12252,1.12258,327
2019.07.18,3:30,1.12259,1.12281,1.12257,1.12279,416
2019.07.18,3:45,1.12278,1.12384,1.12276,1.12372,1007
2019.07.18,4:00,1.12372,1.12403,1.12363,1.12366,978
2019.07.18,4:15,1.12367,1.12379,1.12341,1.12351,544
2019.07.18,4:30,1.12349,1.12377,1.12326,1.12329,931
2019.07.18,4:45,1.12328,1.12357,1.12322,1.12333,619
2019.07.18,5:00,1.12334,1.12343,1.12325,1.12337,459
2019.07.18,5:15,1.12337,1.12354,1.12334,1.12349,272
2019.07.18,5:30,1.12347,1.12359,1.12333,1.12359,399
2019.07.18,5:45,1.12359,1.12389,1.12357,1.12385,497
2019.07.18,6:00,1.12385,1.12393,1.12371,1.12386,325
2019.07.18,6:15,1.12386,1.12411,1.12382,1.12408,369
2019.07.18,6:30,1.12408,1.12409,1.12393,1.12395,206
2019.07.18,6:45,1.12394,1.12403,1.12388,1.12389,315
2019.07.18,7:00,1.1239,1.12395,1.12375,1.12385,225
2019.07.18,7:15,1.12386,1.12392,1.12372,1.12392,224
2019.07.18,7:30,1.1239,1.12393,1.12378,1.12379,185
2019.07.18,7:45,1.1238,1.12391,1.12357,1.12362,348
2019.07.18,8:00,1.12363,1.12373,1.12355,1.12373,274
