Date,Time,Open,High,Low,Close,Volume
2016.11.17,20:00,136.588,136.903,136.362,136.745,24819
2016.11.18,0:00,136.631,137.033,136.531,136.97,25314
2016.11.18,4:00,136.974,137.297,136.82,137.102,28017
2016.11.18,8:00,137.097,137.575,136.974,137.223,41581
2016.11.18,12:00,137.223,137.428,135.395,136.105,45716
2016.11.18,16:00,136.103,136.688,135.903,136.668,50077
2016.11.18,20:00,136.667,137.04,136.512,136.958,24945
2016.11.21,0:00,137.055,137.197,136.55,136.786,27312
2016.11.21,4:00,136.784,137.133,136.737,137.087,31580
2016.11.21,8:00,137.084,137.223,136.268,136.649,40191
2016.11.21,12:00,136.647,138.615,136.529,138.149,47620
2016.11.21,16:00,138.157,138.72,138.095,138.614,43356
2016.11.21,20:00,138.617,138.854,138.04,138.414,31615
2016.11.22,0:00,138.411,138.472,137.868,138.24,30897
2016.11.22,4:00,138.241,138.533,138.167,138.485,29214
2016.11.22,8:00,138.485,138.831,138.059,138.186,39585
2016.11.22,12:00,138.185,138.206,137.618,137.72,40472
2016.11.22,16:00,137.721,138.369,137.678,137.872,45631
2016.11.22,20:00,137.872,138.072,137.685,138.059,24377
2016.11.23,0:00,137.996,138.073,137.813,137.976,13066
2016.11.23,4:00,137.977,138.011,137.669,137.737,16701
2016.11.23,8:00,137.737,137.816,137.271,137.351,27591
2016.11.23,12:00,137.351,138.901,137.26,138.841,41772
2016.11.23,16:00,138.844,140.34,138.757,140.254,54523
2016.11.23,20:00,140.254,140.292,139.773,139.934,31908
2016.11.24,0:00,139.909,140.121,139.643,140.042,22445
2016.11.24,4:00,140.042,140.307,139.965,140.036,24355
2016.11.24,8:00,140.035,141.005,140.028,140.556,40206
2016.11.24,12:00,140.556,141.115,140.556,141.009,36355
2016.11.24,16:00,141.009,141.278,140.914,141.255,25222
2016.11.24,20:00,141.255,141.29,141.018,141.08,3561
2016.11.25,0:00,141.072,141.735,140.929,141.456,22908
2016.11.25,4:00,141.455,141.606,141.012,141.092,27718
2016.11.25,8:00,141.092,141.413,139.95,140.994,44675
2016.11.25,12:00,140.993,140.996,140.234,140.408,34890
2016.11.25,16:00,140.42,141.131,140.092,140.969,30994
2016.11.25,20:00,140.969,141.228,140.565,141.187,9336
2016.11.28,0:00,140.57,140.907,139.493,139.505,23314
2016.11.28,4:00,139.504,140.199,139.316,140.149,39675
2016.11.28,8:00,140.147,140.167,139.468,139.563,38360
2016.11.28,12:00,139.563,140.064,139.023,139.822,42613
2016.11.28,16:00,139.82,139.924,139.08,139.443,44773
2016.11.28,20:00,139.444,139.454,138.848,138.96,15590
2016.11.29,0:00,138.932,139.194,138.5,138.884,15933
2016.11.29,4:00,138.897,139.038,138.708,138.932,23449
2016.11.29,8:00,138.936,140.481,138.889,140.396,33341
2016.11.29,12:00,140.392,141.314,140.137,141.064,42642
2016.11.29,16:00,141.064,141.363,140.67,140.753,50914
2016.11.29,20:00,140.755,140.764,140.275,140.376,18926
2016.11.30,0:00,140.333,140.561,139.961,140.125,14570
2016.11.30,4:00,140.13,140.966,140.032,140.67,26638
2016.11.30,8:00,140.67,141.513,140.424,141.173,37513
2016.11.30,12:00,141.171,141.53,140.342,141.515,47618
2016.11.30,16:00,141.512,142.969,141.152,142.625,67005
2016.11.30,20:00,142.625,143.243,142.365,143.14,24472
2016.12.01,0:00,143.072,143.695,142.951,143.307,20444
2016.12.01,4:00,143.309,143.357,142.629,142.847,26140
2016.12.01,8:00,142.846,143.394,142.671,143.125,36716
2016.12.01,12:00,143.127,145.122,143.094,145.072,40298
2016.12.01,16:00,145.07,145.18,143.664,144.055,55254
2016.12.01,20:00,144.058,144.095,143.292,143.663,24404
2016.12.02,0:00,143.666,143.817,142.907,143.258,13723
2016.12.02,4:00,143.26,143.96,143.231,143.944,19808
2016.12.02,8:00,143.945,144.218,143.109,143.247,30192
2016.12.02,12:00,143.247,144.223,143.227,144.012,37370
2016.12.02,16:00,144.014,144.503,143.536,144.204,45547
2016.12.02,20:00,144.2,144.655,144.003,144.512,20936
2016.12.05,0:00,143.493,144.824,142.528,144.319,22230
2016.12.05,4:00,144.321,144.365,143.766,143.939,20434
2016.12.05,8:00,143.939,145.317,143.838,145.069,41923
2016.12.05,12:00,145.073,145.676,145.062,145.334,41595
2016.12.05,16:00,145.338,146.03,144.191,144.261,43703
2016.12.05,20:00,144.253,144.945,144.031,144.92,22971
2016.12.06,0:00,144.836,144.994,144.474,144.781,13781
2016.12.06,4:00,144.78,145.127,144.667,145.089,15818
2016.12.06,8:00,145.091,145.613,145.057,145.492,32729
2016.12.06,12:00,145.498,145.591,144.819,145.376,37087
2016.12.06,16:00,145.379,145.452,144.146,144.305,37689
2016.12.06,20:00,144.305,144.671,144.255,144.528,12658
2016.12.07,0:00,144.527,144.69,144.386,144.521,13715
2016.12.07,4:00,144.521,144.704,144.333,144.675,15785
2016.12.07,8:00,144.675,144.788,143.446,143.457,31038
2016.12.07,12:00,143.454,143.954,143.322,143.685,28456
2016.12.07,16:00,143.685,143.809,142.984,143.38,35354
2016.12.07,20:00,143.378,143.791,143.354,143.612,18183
2016.12.08,0:00,143.613,143.996,143.432,143.611,11378
2016.12.08,4:00,143.612,143.696,143.083,143.634,21863
2016.12.08,8:00,143.634,144.29,143.344,143.826,30796
2016.12.08,12:00,143.825,144.458,143.607,143.902,48113
