Date,Time,Open,High,Low,Close,Volume
2016.08.11,3:00,1347.52,1347.7,1345.15,1345.79,2765
2016.08.11,4:00,1345.74,1346.13,1341.59,1343.53,4562
2016.08.11,5:00,1343.53,1344.29,1342.51,1343.65,2191
2016.08.11,6:00,1343.66,1344.2,1342.15,1342.37,2054
2016.08.11,7:00,1342.38,1343.17,1341.96,1342.49,1663
2016.08.11,8:00,1342.48,1343.97,1340.1,1343.02,2885
2016.08.11,9:00,1343.07,1343.73,1341.72,1342.73,2847
2016.08.11,10:00,1342.67,1346.92,1342.23,1345.88,3818
2016.08.11,11:00,1345.94,1347.32,1344.92,1345.05,2365
2016.08.11,12:00,1345.07,1345.95,1344.53,1344.95,1756
2016.08.11,13:00,1344.96,1347.17,1343.12,1346.29,2373
2016.08.11,14:00,1346.31,1346.62,1344.53,1345.21,1762
2016.08.11,15:00,1345.25,1347.28,1343.33,1346.33,4271
2016.08.11,16:00,1346.3,1348.75,1343.98,1346.38,5796
2016.08.11,17:00,1346.42,1352.21,1346.42,1351.43,5038
2016.08.11,18:00,1351.5,1353.32,1347,1347.09,3857
2016.08.11,19:00,1347.17,1348.11,1345.3,1345.5,3238
2016.08.11,20:00,1345.49,1346.14,1342.82,1343.8,3404
2016.08.11,21:00,1343.76,1344.32,1340.64,1340.91,2494
2016.08.11,22:00,1340.93,1341.37,1335.72,1337.83,3937
2016.08.11,23:00,1337.95,1338.64,1336.13,1338.47,1140
2016.08.12,1:00,1338.56,1338.96,1337.55,1338.7,849
2016.08.12,2:00,1338.66,1340.17,1337.48,1339.36,2177
2016.08.12,3:00,1339.24,1340.08,1334.79,1336.72,3557
2016.08.12,4:00,1336.7,1340.84,1336.13,1340.57,2857
2016.08.12,5:00,1340.53,1340.59,1339.59,1340.01,1514
2016.08.12,6:00,1340,1341.25,1340,1340.35,989
2016.08.12,7:00,1340.34,1340.95,1337.23,1338.23,1587
2016.08.12,8:00,1338.22,1340.57,1338.18,1340.06,1308
2016.08.12,9:00,1340.08,1340.43,1338.41,1339.63,2192
2016.08.12,10:00,1339.57,1340.11,1338.65,1338.92,1828
2016.08.12,11:00,1338.92,1339.65,1337.14,1337.82,1245
2016.08.12,12:00,1337.88,1338.06,1335.42,1336.76,2205
2016.08.12,13:00,1336.6,1341.3,1336.09,1340.06,1757
2016.08.12,14:00,1340.1,1340.46,1337.4,1339.88,1844
2016.08.12,15:00,1339.98,1356.33,1339.17,1355.03,8711
2016.08.12,16:00,1355,1355.21,1349.58,1352.05,8927
2016.08.12,17:00,1352.06,1354.05,1349.89,1352.59,6076
2016.08.12,18:00,1352.59,1353.61,1350.78,1351.86,3927
2016.08.12,19:00,1351.93,1352.22,1333.22,1337.21,6865
2016.08.12,20:00,1337.28,1338.97,1335.98,1337.42,5607
2016.08.12,21:00,1337.42,1338.13,1334.09,1334.9,2443
2016.08.12,22:00,1334.86,1336.01,1334.49,1334.83,1860
2016.08.12,23:00,1334.83,1338.06,1334.5,1337.16,804
2016.08.15,1:00,1337.86,1338.43,1336.62,1337.72,814
2016.08.15,2:00,1337.83,1339.47,1336.74,1338.97,1863
2016.08.15,3:00,1338.97,1339.16,1336.19,1336.91,2821
2016.08.15,4:00,1336.86,1338.98,1336.62,1338.65,2089
2016.08.15,5:00,1338.68,1339.54,1338.01,1338.91,1732
2016.08.15,6:00,1338.86,1339.84,1338.54,1338.93,1009
2016.08.15,7:00,1338.89,1339.28,1337.93,1338.3,850
2016.08.15,8:00,1338.36,1339.8,1337.91,1339.41,1153
2016.08.15,9:00,1339.49,1340.52,1339.09,1339.87,2217
2016.08.15,10:00,1339.88,1342.18,1339.87,1340.63,2395
2016.08.15,11:00,1340.58,1340.89,1337.85,1338.93,1912
2016.08.15,12:00,1339.01,1340.34,1338.93,1339.13,1729
2016.08.15,13:00,1339.08,1341.74,1338.63,1338.92,1646
