Date,Time,Open,High,Low,Close,Volume
2016.12.01,17:00,1161.69000,1172.07000,1160.64000,1171.88000,20329
2016.12.01,21:00,1171.88000,1174.80000,1170.27000,1171.51000,8269
2016.12.02,01:00,1172.31000,1177.89000,1171.74000,1174.45000,7311
2016.12.02,05:00,1174.45000,1176.62000,1172.51000,1173.84000,4397
2016.12.02,09:00,1173.85000,1176.68000,1170.95000,1171.51000,6631
2016.12.02,13:00,1171.53000,1176.44000,1166.73000,1174.27000,17625
2016.12.02,17:00,1174.27000,1178.09000,1173.17000,1174.82000,16220
2016.12.02,21:00,1174.78000,1176.94000,1173.04000,1176.94000,5410
2016.12.05,01:00,1179.98000,1187.96000,1171.54000,1175.61000,15290
2016.12.05,05:00,1175.60000,1177.76000,1173.84000,1174.38000,6312
2016.12.05,09:00,1174.38000,1174.38000,1162.44000,1165.09000,14878
2016.12.05,13:00,1165.11000,1170.10000,1162.91000,1163.69000,14142
2016.12.05,17:00,1163.70000,1175.94000,1157.03000,1172.22000,20374
2016.12.05,21:00,1172.27000,1174.00000,1168.61000,1170.07000,6642
2016.12.06,01:00,1170.11000,1175.22000,1169.30000,1173.68000,6600
2016.12.06,05:00,1173.68000,1175.08000,1169.50000,1170.64000,6199
2016.12.06,09:00,1170.46000,1174.26000,1169.45000,1171.24000,7182
2016.12.06,13:00,1171.25000,1175.22000,1169.48000,1172.26000,12331
2016.12.06,17:00,1172.30000,1174.07000,1166.73000,1168.57000,13042
2016.12.06,21:00,1168.57000,1169.77000,1167.48000,1169.66000,3501
2016.12.07,01:00,1169.28000,1169.95000,1167.29000,1169.58000,4304
2016.12.07,05:00,1169.66000,1169.93000,1165.54000,1167.71000,4174
2016.12.07,09:00,1167.69000,1172.53000,1167.57000,1171.43000,5793
2016.12.07,13:00,1171.53000,1180.20000,1170.88000,1178.32000,11004
2016.12.07,17:00,1178.33000,1179.96000,1173.48000,1174.25000,12288
2016.12.07,21:00,1174.20000,1175.35000,1172.06000,1173.90000,3503
2016.12.08,01:00,1174.75000,1177.73000,1173.50000,1177.18000,4708
2016.12.08,05:00,1177.18000,1178.63000,1175.73000,1175.92000,5386
2016.12.08,09:00,1175.88000,1176.96000,1173.76000,1175.77000,7055
2016.12.08,13:00,1175.81000,1178.49000,1169.08000,1170.96000,27721
2016.12.08,17:00,1170.92000,1172.25000,1169.38000,1170.05000,14266
2016.12.08,21:00,1170.05000,1171.20000,1169.95000,1170.53000,4479
2016.12.09,01:00,1170.34000,1170.95000,1165.08000,1167.47000,5970
